笑っている 2 13.93 
うなづいている 691.08 691.659 
うなづいている 770.13 770.929 
うなづいている 868.025 868.683 
うなづいている 870.69 871.184 
ジェスチャーしている 670.5 676.91 
話している 611.11 612.05 
話している 649.33 650.96 
話している 669.826 676.9 
話している 688.45 691.18 
話している 697.85 699.265 
話している 700.94 701.52 
話している 707.54 708.023 
話している 713.3 714.082 
話している 729.35 730.438 
話している 750.84 752.512 
話している 766.17 766.725 
話している 770.14 771.19 
話している 772.52 772.91 
話している 793.82 795.103 
話している 795.91 796.26 
話している 849.62 850.113 
話している 857.7 861.522 
話している 862.7 866.03 
話している 868.06 868.837 
話している 947.83 948.714 
話している 955.68 956.264 
話している 1011.85 1013.7 
話している 1014.39 1014.88 
話している 1018.24 1019.95 
話している 1040.45 1040.95 
aを見ている 460 460.91 白板
aを見ている 460.91 464.45 白板&ペン（B所持）
aを見ている 464.45 472.47 白板
aを見ている 472.47 478.18 白板&ペン（B所持）
aを見ている 478.18 480.95 白板
aを見ている 480.95 482.44 白板&ペン（B所持）
aを見ている 482.44 486.42 白板
aを見ている 486.42 491.67 白板&ペン（B所持）
aを見ている 491.67 506.85 白板
aを見ている 506.85 508.91 白板&ペン（D所持）
aを見ている 508.91 511.61 白板
aを見ている 511.61 516.745 白板
aを見ている 516.745 517.325 白板&ペン（D所持）
aを見ている 517.325 518.85 白板
aを見ている 518.85 519.7 白板&ペン（B所持）
aを見ている 519.7 532.35 白板
aを見ている 532.35 539.37 机&パスタ（机左前）
aを見ている 539.37 541.65 白板&A&D
aを見ている 541.65 543.64 机&パスタ（机左前）
aを見ている 543.64 544.9 白板&A
aを見ている 544.9 546.56 白板
aを見ている 546.56 579.36 白板&A
aを見ている 579.36 580.89 白板&A&B&D
aを見ている 580.89 581.45 B&D
aを見ている 581.45 585.65 白板&B
aを見ている 585.65 598.97 白板&ペン（B所持）&B
aを見ている 598.97 603.37 白板&B
aを見ている 603.37 604.79 白板&B&D
aを見ている 604.79 605.421 白板&D
aを見ている 605.421 608.8 机&パスタ（机左前）&セロハンテープ（机左前）
aを見ている 608.8 609.48 B&D
aを見ている 609.48 610.69 机&セロハンテープ（机左前）&パスタ（机左前）
aを見ている 610.69 611.88 机&セロハンテープ（机左前）&セロハンテープ（机右前）
aを見ている 611.88 614.72 机&パスタ（机左前）&セロハンテープ（机左前）
aを見ている 614.72 616 A&B
aを見ている 616 617.15 机&パスタ（机左前）&セロハンテープ（机左前）
aを見ている 617.15 618.1 B
aを見ている 618.1 619.94 A&B
aを見ている 619.94 625.17 机&パスタ（A所持）&パスタ（机右前）&パスタ（机左前）&ハサミ
aを見ている 625.17 626.67 机&パスタ（C所持）&ハサミ
aを見ている 626.67 628.25 机&パスタ（A所持）&パスタ（机左前）
aを見ている 628.25 628.94 机&パスタ（机右前）&ハサミ&箱
aを見ている 628.94 632.88 机&パスタ（C所持）&ハサミ
aを見ている 632.88 642.06 机&パスタ（A所持）&パスタ（机左前）&セロハンテープ（机左前）
aを見ている 642.06 643.11 D&パスタ（A所持）&机
aを見ている 643.11 648.31 机&パスタ（A所持）&パスタ（机左前）&パスタ（B所持）
aを見ている 648.31 652.29 机&パスタ（机左前）&パスタ（B所持）
aを見ている 652.29 657.89 机&パスタ（机左前）
aを見ている 657.89 661.14 机&パスタ（机左前）&パスタ（D所持）
aを見ている 661.14 662.41 机&パスタ（机左前）&パスタ（D所持）&パスタ（A所持）
aを見ている 662.41 666.12 机&パスタ（机左前）
aを見ている 666.12 670.88 机&パスタ（机左前）&パスタ（D所持）
aを見ている 670.88 672.65 A&D&白板
aを見ている 672.65 676.28 A&D&パスタ（机左前）&机
aを見ている 676.28 678.522 机&パスタ（机左前）
aを見ている 678.522 682.64 机&パスタ（机左前）&パスタ（A所持）&パスタ（B所持）
aを見ている 682.64 683.21 パスタ（机右前）&ハサミ&机
aを見ている 683.21 683.69 机&パスタ（C所持）&ハサミ
aを見ている 683.69 685.595 机&パスタ（机左前）&パスタ（A所持）
aを見ている 685.595 686.46 パスタ（机左前）&机
aを見ている 686.46 687.4 机&パスタ（C所持）&ハサミ
aを見ている 687.4 687.67 机&パスタ（机右前）
aを見ている 687.67 689.3 机&セロハンテープ（机左前）&パスタ（机左前）
aを見ている 689.3 691.69 机&パスタ（机左前）&セロハンテープ（C所持）
aを見ている 691.69 697.93 机&パスタ（机左前）&パスタ（机右前）&セロハンテープ（C所持）&ハサミ
aを見ている 697.93 703.96 机&セロハンテープ（C所持）&パスタ（机左前）
aを見ている 703.96 704.52 ハサミ&机&パスタ（B所持）&パスタ（机左前）
aを見ている 704.52 709.5 机&セロハンテープ（A所持）
aを見ている 709.5 714.21 セロハンテープ（C所持）&ハサミ&机
aを見ている 714.21 716.47 セロハンテープ（A所持）&机
aを見ている 716.47 749.19 机&パスタ（A所持）&パスタ（机左前）
aを見ている 749.19 750.39 ハサミ&セロハンテープ（C所持）&机
aを見ている 750.39 752.54 机&パスタ（机左前）&パスタ（B所持）
aを見ている 752.54 758.473 ハサミ&セロハンテープ（C所持）&机&パスタ（机左前）
aを見ている 758.473 759.99 セロハンテープ（B所持）&セロハンテープ（C所持）&机
aを見ている 759.99 766.123 ハサミ&セロハンテープ（C所持）&机&パスタ（机左前）
aを見ている 766.123 766.673 ハサミ&机&パスタ（机左前）&パスタ（机右前）
aを見ている 766.673 769.973 ハサミ&セロハンテープ（C所持）&机&パスタ（机左前）&パスタ（机右前）
aを見ている 769.973 770.843 ハサミ&セロハンテープ（C所持）&机&パスタ（机左前）&パスタ（机右前）&セロハンテープ（A所持）
aを見ている 770.843 774.653 ハサミ&セロハンテープ（C所持）&机&パスタ（机左前）&パスタ（机右前）
aを見ている 774.67 776.01 机&パスタ（机右前）&セロハンテープ（C所持）&ハサミ
aを見ている 776.01 776.994 机&パスタ（机右前）&セロハンテープ（机右前）
aを見ている 776.994 781.75 机&パスタ（机右前）&セロハンテープ（C所持）&ハサミ
aを見ている 781.75 786.12 机&セロハンテープ（C所持）
aを見ている 786.12 786.65 机&パスタ（机右前）
aを見ている 786.65 789.31 机&パスタ（机右前）&ハサミ&セロハンテープ（C所持）
aを見ている 789.31 792.35 机&セロハンテープ（C所持）
aを見ている 792.35 792.99 机&パスタ（机右前）&ハサミ
aを見ている 792.99 795.395 B&机&パスタ（机左前）
