# Scene precison and perplexity along time
0.48,22.52
0.48,22.57
0.47,22.63
0.47,22.58
0.46,22.40
0.45,22.28
0.44,22.19
0.54,15.58
0.50,15.92
0.47,16.21
0.46,16.07
0.45,16.34
0.45,17.41
0.47,19.38
0.47,21.42
0.38,27.13
0.38,27.27
0.47,20.34
0.47,16.79
0.46,14.68
0.46,13.72
0.45,12.95
0.45,12.49
0.44,12.12
0.43,11.92
0.43,11.97
0.44,12.06
0.45,12.73
0.48,13.77
0.51,15.57
0.53,18.28
0.49,22.64
0.41,28.56
0.41,28.83
0.41,28.49
0.46,25.90
0.55,21.53
0.56,18.13
0.54,16.07
0.54,14.44
0.54,13.42
0.54,12.65
0.54,12.24
0.54,12.10
0.55,12.06
0.55,18.70
0.42,19.22
0.39,18.46
0.39,18.42
0.39,18.32
0.39,18.44
0.40,18.52
0.40,18.43
0.40,18.35
0.40,18.26
0.41,18.54
0.48,19.26
0.50,19.64
0.47,19.46
0.47,19.57
0.46,21.20
0.45,24.60
0.44,26.57
0.43,26.13
0.43,25.33
0.43,25.03
0.42,25.41
0.42,26.04
0.42,26.51
0.42,25.85
0.42,25.09
0.42,24.71
0.42,23.61
0.42,23.13
0.41,23.42
0.41,23.09
0.41,22.50
0.41,22.11
0.41,22.24
0.41,22.71
0.41,23.32
0.41,21.39
0.41,20.07
0.41,20.95
0.42,20.79
0.42,21.50
0.39,23.34
0.33,19.56
0.33,18.91
0.30,18.18
0.30,17.73
0.32,17.49
0.37,17.23
0.52,16.83
0.53,16.00
0.56,14.88
0.66,13.93
0.72,12.58
0.77,11.43
0.78,10.48
0.80,10.02
0.81,9.62
0.80,9.22
0.79,8.93
0.76,8.63
0.75,8.48
0.75,8.52
0.74,8.61
0.74,8.68
0.74,8.68
0.73,8.67
0.73,8.67
0.73,8.72
0.73,8.76
0.75,8.91
0.77,9.03
0.78,9.03
0.81,9.04
0.83,9.08
0.86,9.85
0.86,10.57
0.89,10.60
0.91,10.36
0.91,10.18
0.89,10.02
0.86,9.84
0.85,9.85
0.84,9.68
0.84,9.61
0.85,9.38
0.81,10.64
0.80,10.42
0.81,10.42
0.71,19.39
0.66,20.98
0.57,25.46
0.44,29.19
0.35,31.91
0.33,32.69
0.32,32.83
0.31,32.84
0.31,32.82
0.31,32.84
0.28,33.89
0.28,28.22
0.37,24.42
0.54,19.01
0.86,11.24
0.90,13.51
0.47,24.95
0.45,24.81
0.45,24.79
0.46,24.67
0.47,24.59
0.47,24.60
0.47,24.35
0.44,23.34
0.43,22.54
0.43,22.01
0.44,21.16
0.45,20.90
0.45,20.93
0.44,20.89
0.44,20.82
0.43,20.78
0.43,20.83
0.46,21.10
0.57,20.66
0.94,7.97
0.94,7.62
0.94,7.24
0.93,6.93
0.93,6.82
0.93,6.76
0.93,6.91
0.93,7.42
0.94,8.15
0.91,8.74
0.88,10.87
0.73,13.67
0.65,14.61
0.61,15.22
0.56,15.93
0.52,16.46
0.54,16.10
0.60,24.91
0.46,27.78
0.44,27.23
0.44,27.07
0.42,26.49
0.42,26.22
0.42,26.21
0.44,26.10
0.46,30.02
0.46,37.30
0.46,39.09
0.49,43.46
0.48,46.31
0.48,46.11
0.47,46.38
0.45,40.74
0.45,40.51
0.46,41.27
0.61,34.91
0.89,11.10
0.90,7.08
0.88,9.34
0.77,11.35
0.65,15.41
0.61,15.77
0.62,15.45
0.65,15.52
0.68,15.65
0.69,15.56
0.68,15.86
0.68,15.96
0.75,16.33
0.80,16.06
0.81,13.05
0.80,12.32
0.81,12.61
0.84,11.76
0.86,9.71
0.85,8.65
0.86,8.56
0.87,8.47
0.89,7.67
0.90,7.62
0.91,7.70
0.92,7.76
0.94,8.18
0.93,8.44
0.92,8.77
0.93,8.91
0.92,8.99
0.92,9.03
0.92,8.99
0.92,8.87
0.93,8.49
0.93,8.06
0.94,7.60
0.94,7.12
0.93,6.80
0.92,6.92
0.91,7.02
0.92,7.61
0.91,8.00
0.90,8.38
0.89,8.58
0.90,8.44
0.91,8.23
0.93,7.61
0.94,6.89
0.95,6.12
0.95,5.50
0.95,4.73
0.95,4.19
0.94,3.72
0.93,3.41
0.93,3.21
0.92,3.06
0.93,3.56
0.93,3.64
0.93,3.75
0.94,3.96
0.94,4.18
0.94,4.39
0.94,4.59
0.94,4.75
0.94,4.83
0.94,4.85
0.93,4.42
0.93,4.37
0.93,4.28
0.94,4.08
0.94,3.94
0.94,3.84
0.93,5.25
0.86,7.21
0.81,10.09
